"tipo_selecao","sigma_p","encounters_n","n_reps","Metrica","Gen_1","Gen_50","Delta","Delta_pct"
"u-shaped",1.2,10,8,"Nestedness",0.928618611420457,0.693325892377488,-0.235292719042969,-25.3379284185415
"u-shaped",1.2,10,8,"varz_males",0.722144518122801,0.0823709156839916,-0.63977360243881,-88.5935690686799
"u-shaped",1.2,10,8,"zbar_males",4.97098986525008,5.00505614793516,0.0340662826850862,0.685301793174595
"uniform",1.5,10,8,"Centralization",0.0165529250615564,0.0140271963305001,-0.00252572873105633,-15.2585039904654
"uniform",1.5,10,8,"I_s",0.296119803843593,0.355114885126537,0.0589950812829438,19.9227071331252
"uniform",1.5,10,8,"Modularity",0.616465033820715,0.652444985247953,0.0359799514272379,5.83649508946874
"uniform",1.5,10,8,"Nestedness",0.862079934925099,0.707013499167886,-0.155066435757213,-17.9874776659412
"uniform",1.5,10,8,"varz_males",0.70833601672735,0.074987616169108,-0.633348400558242,-89.4135531162787
"uniform",1.5,10,8,"zbar_males",4.98666988978023,5.01330602334539,0.0266361335651544,0.53414671822859
"gaussian",1.5,10,8,"Centralization",0.0143557156552797,0.0109222932979902,-0.00343342235728944,-23.9167620739737
"gaussian",1.5,10,8,"I_s",0.435515366539755,0.505853868902335,0.0703385023625799,16.1506361810908
"gaussian",1.5,10,8,"Modularity",0.772369136889504,0.820754863304017,0.0483857264145124,6.26458568882906
"gaussian",1.5,10,8,"Nestedness",0.603445608145426,0.483971897001327,-0.119473711144099,-19.7985882292322
"gaussian",1.5,10,8,"varz_males",0.745734498494183,0.0757277181946937,-0.67000678029949,-89.8452172525736
"gaussian",1.5,10,8,"zbar_males",4.95794261407141,5.05715048451393,0.0992078704425214,2.00098867947673
"sigmoid",1.5,10,8,"Centralization",0.0210550331292871,0.016674269257807,-0.00438076387148008,-20.8062549442705
"sigmoid",1.5,10,8,"I_s",0.551900635325239,0.347185779764906,-0.204714855560333,-37.0927015584413
"sigmoid",1.5,10,8,"Modularity",0.680203490709754,0.650585347570798,-0.0296181431389561,-4.35430625444912
"sigmoid",1.5,10,8,"Nestedness",0.826760793126512,0.84490889347582,0.0181481003493082,2.19508478149752
"sigmoid",1.5,10,8,"varz_males",0.739055376381936,0.0748286081721404,-0.664226768209796,-89.8751013031709
"sigmoid",1.5,10,8,"zbar_males",5.00110724225139,5.80386448763099,0.802757245379593,16.0515903077937
"u-shaped",1.5,10,8,"Centralization",0.0174173264461025,0.0154989147229354,-0.00191841172316716,-11.0143869043486
"u-shaped",1.5,10,8,"I_s",0.299873803600011,0.378294151228237,0.078420347628226,26.151116465254
"u-shaped",1.5,10,8,"Modularity",0.596279681454754,0.688274892936502,0.0919952114817473,15.4281982671797
"u-shaped",1.5,10,8,"Nestedness",0.914458241135885,0.6773242249031,-0.237134016232784,-25.9316396928339
"u-shaped",1.5,10,8,"varz_males",0.696291117565416,0.0761897674595767,-0.620101350105839,-89.057771162445
"u-shaped",1.5,10,8,"zbar_males",4.97330579295804,4.9527197717696,-0.0205860211884419,-0.413930332166397
"uniform",2,10,8,"Centralization",0.015637563449139,0.0139165046472991,-0.00172105880183983,-11.0059268979951
"uniform",2,10,8,"I_s",0.317913723822481,0.344833133044348,0.0269194092218669,8.46752033797017
"uniform",2,10,8,"Modularity",0.624580563984394,0.64655453321082,0.0219739692264252,3.51819612929458
"uniform",2,10,8,"Nestedness",0.810949296582615,0.730291390253218,-0.0806579063293972,-9.94610966052921
"uniform",2,10,8,"varz_males",0.739201509867796,0.0785942522252851,-0.660607257642511,-89.3676824010626
"uniform",2,10,8,"zbar_males",5.05747258676409,5.0212747241155,-0.0361978626485948,-0.715730278861584
"gaussian",2,10,8,"Centralization",0.0130955840440167,0.0105211257736175,-0.00257445827039929,-19.6589801703082
"gaussian",2,10,8,"I_s",0.504937644656639,0.555655446795299,0.0507178021386604,10.0443693741925
"gaussian",2,10,8,"Modularity",0.845041052225042,0.872040281280863,0.0269992290558209,3.19501981409428
"gaussian",2,10,8,"Nestedness",0.447230061988422,0.388622443361605,-0.0586076186268172,-13.1045794118228
"gaussian",2,10,8,"varz_males",0.687754263159018,0.0816484287804209,-0.606105834378597,-88.1282555188549
"gaussian",2,10,8,"zbar_males",5.01547964253355,4.98169294768331,-0.0337866948502397,-0.673648329936645
"sigmoid",2,10,8,"Centralization",0.0192379764167379,0.0145585598300353,-0.00467941658670258,-24.3238503121944
"sigmoid",2,10,8,"I_s",0.525439801302985,0.342294409019437,-0.183145392283548,-34.8556374734812
"sigmoid",2,10,8,"Modularity",0.71973995428597,0.690837411248986,-0.0289025430369838,-4.01569245459731
"sigmoid",2,10,8,"Nestedness",0.754020982238309,0.764303137721472,0.0102821554831634,1.36364315123444
"sigmoid",2,10,8,"varz_males",0.74024130050342,0.0781086428764905,-0.66213265762693,-89.4482187330846
"sigmoid",2,10,8,"zbar_males",4.99806411299644,5.70462586482992,0.706561751833476,14.1367084507021
"u-shaped",2,10,8,"Centralization",0.0173759170157331,0.0135002253059582,-0.00387569170977497,-22.3049621281323
"u-shaped",2,10,8,"I_s",0.2774820282763,0.365240733371074,0.087758705094774,31.6268068385997
"u-shaped",2,10,8,"Modularity",0.594393536733675,0.654492508173208,0.0600989714395327,10.110973240017
"u-shaped",2,10,8,"Nestedness",0.948382893956567,0.718514245511736,-0.229868648444831,-24.2379580978986
"u-shaped",2,10,8,"varz_males",0.731784182540537,0.0840573976193463,-0.64772678492119,-88.513362323913
"u-shaped",2,10,8,"zbar_males",4.96987101115597,5.00843678134294,0.0385657701869722,0.775991370810285
"uniform",0.2,40,8,"Centralization",0.0161535642676558,0.0154173887808424,-0.000736175486813368,-4.55735634944301
"uniform",0.2,40,8,"I_s",0.273936756625341,0.35230604163614,0.0783692850107987,28.6085321211505
